risk,place,year,count,score,rank
opendns,ad,2016,30,74.23,24
opendns,ae,2016,4280,36.65,152
opendns,af,2016,890,48.55,113
opendns,ag,2016,120,63.73,57
opendns,ai,2016,30,74.23,24
opendns,al,2016,1300,45.67,123
opendns,am,2016,6810,33.13,160
opendns,ao,2016,610,51.41,101
opendns,ar,2016,39730,19.76,189
opendns,as,2016,10,82.55,1
opendns,at,2016,3250,38.73,143
opendns,au,2016,27090,22.67,182
opendns,aw,2016,10,82.55,1
opendns,ax,2016,10,82.55,1
opendns,az,2016,15840,26.73,174
opendns,ba,2016,13870,27.74,170
opendns,bb,2016,880,48.63,110
opendns,bd,2016,2500,40.72,134
opendns,be,2016,3080,39.14,140
opendns,bf,2016,360,55.4,89
opendns,bg,2016,36880,20.33,187
opendns,bh,2016,480,53.22,93
opendns,bi,2016,10,82.55,1
opendns,bj,2016,120,63.73,57
opendns,bm,2016,150,62.04,70
opendns,bn,2016,170,61.09,75
opendns,bo,2016,4470,36.32,154
opendns,bq,2016,10,82.55,1
opendns,br,2016,112260,11.89,205
opendns,bs,2016,120,63.73,57
opendns,bt,2016,70,67.81,43
opendns,bw,2016,160,61.55,72
opendns,by,2016,3160,38.94,141
opendns,bz,2016,880,48.63,110
opendns,ca,2016,38800,19.94,188
opendns,cd,2016,130,63.12,64
opendns,cg,2016,40,72.05,34
opendns,ch,2016,7630,32.27,162
opendns,ci,2016,370,55.2,90
opendns,ck,2016,20,77.3,16
opendns,cl,2016,4200,36.79,151
opendns,cm,2016,290,57.04,85
opendns,cn,2016,356350,3.14,212
opendns,co,2016,77680,14.68,199
opendns,cr,2016,1420,45.01,125
opendns,cu,2016,260,57.87,83
opendns,cv,2016,20,77.3,16
opendns,cw,2016,160,61.55,72
opendns,cy,2016,640,51.04,103
opendns,cz,2016,15450,26.92,172
opendns,de,2016,74100,15.04,198
opendns,dk,2016,2510,40.69,135
opendns,dm,2016,60,68.98,40
opendns,do,2016,16680,26.34,176
opendns,dz,2016,86770,13.85,201
opendns,ec,2016,4610,36.08,155
opendns,ee,2016,1480,44.69,126
opendns,eg,2016,85700,13.94,200
opendns,es,2016,20960,24.61,180
opendns,fi,2016,2530,40.63,136
opendns,fj,2016,550,52.19,100
opendns,fm,2016,10,82.55,1
opendns,fo,2016,100,65.11,54
opendns,fr,2016,58400,16.85,193
opendns,ga,2016,140,62.56,67
opendns,gb,2016,60900,16.53,195
opendns,gd,2016,80,66.8,50
opendns,ge,2016,3290,38.64,145
