risk,place,year,count,score,rank
opendns,ad,2016,30,25.77,181
opendns,ae,2016,4280,63.35,62
opendns,af,2016,890,51.45,101
opendns,ag,2016,120,36.27,151
opendns,ai,2016,30,25.77,181
opendns,al,2016,1300,54.33,91
opendns,am,2016,6810,66.87,54
opendns,ao,2016,610,48.59,112
opendns,ar,2016,39730,80.24,25
opendns,as,2016,10,17.45,199
opendns,at,2016,3250,61.27,70
opendns,au,2016,27090,77.33,32
opendns,aw,2016,10,17.45,199
opendns,ax,2016,10,17.45,199
opendns,az,2016,15840,73.27,40
opendns,ba,2016,13870,72.26,44
opendns,bb,2016,880,51.37,102
opendns,bd,2016,2500,59.28,80
opendns,be,2016,3080,60.86,74
opendns,bf,2016,360,44.6,125
opendns,bg,2016,36880,79.67,27
opendns,bh,2016,480,46.78,121
opendns,bi,2016,10,17.45,199
opendns,bj,2016,120,36.27,151
opendns,bm,2016,150,37.96,143
opendns,bn,2016,170,38.91,139
opendns,bo,2016,4470,63.68,60
opendns,bq,2016,10,17.45,199
opendns,br,2016,112260,88.11,9
opendns,bs,2016,120,36.27,151
opendns,bt,2016,70,32.19,165
opendns,bw,2016,160,38.45,140
opendns,by,2016,3160,61.06,72
opendns,bz,2016,880,51.37,102
opendns,ca,2016,38800,80.06,26
opendns,cd,2016,130,36.88,148
opendns,cg,2016,40,27.95,179
opendns,ch,2016,7630,67.73,52
opendns,ci,2016,370,44.8,124
opendns,ck,2016,20,22.7,191
opendns,cl,2016,4200,63.21,63
opendns,cm,2016,290,42.96,128
opendns,cn,2016,356350,96.86,2
opendns,co,2016,77680,85.32,15
opendns,cr,2016,1420,54.99,89
opendns,cu,2016,260,42.13,130
opendns,cv,2016,20,22.7,191
opendns,cw,2016,160,38.45,140
opendns,cy,2016,640,48.96,111
opendns,cz,2016,15450,73.08,42
opendns,de,2016,74100,84.96,16
opendns,dk,2016,2510,59.31,79
opendns,dm,2016,60,31.02,172
opendns,do,2016,16680,73.66,38
opendns,dz,2016,86770,86.15,13
opendns,ec,2016,4610,63.92,59
opendns,ee,2016,1480,55.31,88
opendns,eg,2016,85700,86.06,14
opendns,es,2016,20960,75.39,34
opendns,fi,2016,2530,59.37,78
opendns,fj,2016,550,47.81,114
opendns,fm,2016,10,17.45,199
opendns,fo,2016,100,34.89,160
opendns,fr,2016,58400,83.15,21
opendns,ga,2016,140,37.44,145
opendns,gb,2016,60900,83.47,19
opendns,gd,2016,80,33.2,162
opendns,ge,2016,3290,61.36,68
opendns,gf,2016,30,25.77,181
opendns,gg,2016,120,36.27,151
opendns,gh,2016,880,51.37,102
opendns,gi,2016,140,37.44,145
opendns,gm,2016,70,32.19,165
opendns,gn,2016,10,17.45,199
opendns,gp,2016,70,32.19,165
opendns,gq,2016,40,27.95,179
opendns,gr,2016,21920,75.73,33
opendns,gt,2016,4170,63.16,64
opendns,gu,2016,650,49.07,110
opendns,gy,2016,150,37.96,143
opendns,hk,2016,18400,74.4,37
opendns,hn,2016,900,51.54,100
opendns,hr,2016,8900,68.9,50
opendns,ht,2016,20,22.7,191
opendns,hu,2016,7540,67.64,53
opendns,id,2016,133410,89.41,6
opendns,ie,2016,2980,60.61,75
opendns,il,2016,3910,62.67,65
opendns,im,2016,50,29.64,175
opendns,in,2016,292090,95.35,3
opendns,iq,2016,910,51.62,99
opendns,ir,2016,230860,93.57,4
opendns,is,2016,510,47.24,117
opendns,it,2016,42930,80.82,23
opendns,je,2016,140,37.44,145
opendns,jm,2016,210,40.51,136
opendns,jo,2016,1900,57.2,84
opendns,jp,2016,57700,83.06,22
opendns,ke,2016,610,48.59,112
opendns,kg,2016,350,44.38,126
opendns,kh,2016,710,49.74,108
opendns,km,2016,10,17.45,199
opendns,kn,2016,180,39.35,138
opendns,kp,2016,10,17.45,199
opendns,kr,2016,92350,86.63,12
opendns,kw,2016,2140,58.1,81
opendns,ky,2016,90,34.09,161
opendns,kz,2016,34790,79.23,28
opendns,la,2016,250,41.83,132
opendns,lb,2016,5040,64.59,57
opendns,lc,2016,30,25.77,181
opendns,li,2016,70,32.19,165
opendns,lk,2016,3160,61.06,72
opendns,lr,2016,10,17.45,199
opendns,ls,2016,80,33.2,162
opendns,lt,2016,3250,61.27,70
opendns,lu,2016,670,49.3,109
opendns,lv,2016,1890,57.16,85
opendns,ly,2016,1970,57.47,83
opendns,ma,2016,19980,75.03,35
opendns,mc,2016,50,29.64,175
opendns,md,2016,13440,72.02,45
opendns,me,2016,290,42.96,128
opendns,mf,2016,10,17.45,199
opendns,mg,2016,120,36.27,151
opendns,mh,2016,10,17.45,199
opendns,mk,2016,1320,54.44,90
opendns,ml,2016,10,17.45,199
opendns,mm,2016,20,22.7,191
opendns,mn,2016,160,38.45,140
opendns,mo,2016,490,46.93,119
opendns,mq,2016,70,32.19,165
opendns,mr,2016,520,47.38,115
opendns,mt,2016,330,43.94,127
opendns,mu,2016,870,51.28,105
opendns,mv,2016,490,46.93,119
opendns,mw,2016,80,33.2,162
opendns,mx,2016,127000,89.04,7
opendns,my,2016,92740,86.66,11
opendns,mz,2016,990,52.26,96
opendns,na,2016,30,25.77,181
opendns,nc,2016,120,36.27,151
opendns,ne,2016,10,17.45,199
opendns,ng,2016,420,45.76,123
opendns,ni,2016,1710,56.4,87
opendns,nl,2016,41210,80.51,24
opendns,no,2016,3740,62.33,66
opendns,np,2016,6100,66.04,56
opendns,nz,2016,2780,60.08,77
opendns,om,2016,930,51.79,98
opendns,pa,2016,2120,58.03,82
opendns,pe,2016,3660,62.17,67
opendns,pf,2016,60,31.02,172
opendns,pg,2016,70,32.19,165
opendns,ph,2016,32830,78.79,29
opendns,pk,2016,6770,66.83,55
opendns,pl,2016,72160,84.76,18
opendns,pr,2016,740,50.06,107
opendns,ps,2016,16440,73.55,39
opendns,pt,2016,4360,63.49,61
opendns,py,2016,190,39.75,137
opendns,qa,2016,260,42.13,130
opendns,re,2016,120,36.27,151
opendns,ro,2016,28440,77.7,31
opendns,rs,2016,29270,77.92,30
opendns,ru,2016,115720,88.34,8
opendns,rw,2016,50,29.64,175
opendns,sa,2016,4800,64.22,58
opendns,sc,2016,60,31.02,172
opendns,sd,2016,500,47.09,118
opendns,se,2016,14710,72.71,43
